,country,year,fossil_fuel_consumption,gas_consumption
12583,Philippines,1900,,
12584,Philippines,1901,,
12585,Philippines,1902,,
12586,Philippines,1903,,
12587,Philippines,1904,,
12588,Philippines,1905,,
12589,Philippines,1906,,
12590,Philippines,1907,,
12591,Philippines,1908,,
12592,Philippines,1909,,
12593,Philippines,1910,,
12594,Philippines,1911,,
12595,Philippines,1912,,
12596,Philippines,1913,,
12597,Philippines,1914,,
12598,Philippines,1915,,
12599,Philippines,1916,,
12600,Philippines,1917,,
12601,Philippines,1918,,
12602,Philippines,1919,,
12603,Philippines,1920,,
12604,Philippines,1921,,
12605,Philippines,1922,,
12606,Philippines,1923,,
12607,Philippines,1924,,
12608,Philippines,1925,,
12609,Philippines,1926,,
12610,Philippines,1927,,
12611,Philippines,1928,,
12612,Philippines,1929,,
12613,Philippines,1930,,
12614,Philippines,1931,,
12615,Philippines,1932,,
12616,Philippines,1933,,
12617,Philippines,1934,,
12618,Philippines,1935,,
12619,Philippines,1936,,
12620,Philippines,1937,,
12621,Philippines,1938,,
12622,Philippines,1939,,
12623,Philippines,1940,,
12624,Philippines,1941,,
12625,Philippines,1942,,
12626,Philippines,1943,,
12627,Philippines,1944,,
12628,Philippines,1945,,
12629,Philippines,1946,,
12630,Philippines,1947,,
12631,Philippines,1948,,
12632,Philippines,1949,,
12633,Philippines,1950,,
12634,Philippines,1951,,
12635,Philippines,1952,,
12636,Philippines,1953,,
12637,Philippines,1954,,
12638,Philippines,1955,,
12639,Philippines,1956,,
12640,Philippines,1957,,
12641,Philippines,1958,,
12642,Philippines,1959,,
12643,Philippines,1960,,
12644,Philippines,1961,,
12645,Philippines,1962,,
12646,Philippines,1963,,
12647,Philippines,1964,,
12648,Philippines,1965,50.202,0.0
12649,Philippines,1966,54.695,0.0
12650,Philippines,1967,61.514,0.0
12651,Philippines,1968,69.989,0.0
12652,Philippines,1969,75.05,0.0
12653,Philippines,1970,85.305,0.0
12654,Philippines,1971,98.959,0.0
12655,Philippines,1972,97.119,0.0
12656,Philippines,1973,113.934,0.0
12657,Philippines,1974,106.623,0.0
12658,Philippines,1975,115.263,0.0
12659,Philippines,1976,118.523,0.0
12660,Philippines,1977,130.401,0.0
12661,Philippines,1978,134.285,0.0
12662,Philippines,1979,138.322,0.0
12663,Philippines,1980,130.072,0.0
12664,Philippines,1981,123.561,0.0
12665,Philippines,1982,119.337,0.0
12666,Philippines,1983,127.255,0.0
12667,Philippines,1984,108.655,0.0
12668,Philippines,1985,101.427,0.0
12669,Philippines,1986,103.213,0.0
12670,Philippines,1987,118.839,0.0
12671,Philippines,1988,130.161,0.0
12672,Philippines,1989,141.511,0.0
12673,Philippines,1990,148.983,0.0
12674,Philippines,1991,146.261,0.0
12675,Philippines,1992,176.72,0.0
12676,Philippines,1993,182.17,0.0
12677,Philippines,1994,191.179,0.053
12678,Philippines,1995,216.315,0.051
12679,Philippines,1996,231.851,0.086
12680,Philippines,1997,253.145,0.052
12681,Philippines,1998,255.745,0.089
12682,Philippines,1999,248.855,0.069
12683,Philippines,2000,245.374,0.102
12684,Philippines,2001,246.504,1.342
12685,Philippines,2002,245.634,16.866
12686,Philippines,2003,255.233,25.705
12687,Philippines,2004,262.436,23.74
12688,Philippines,2005,262.961,31.442
12689,Philippines,2006,248.083,29.447
12690,Philippines,2007,264.624,35.305
12691,Philippines,2008,270.364,37.165
12692,Philippines,2009,273.537,37.425
12693,Philippines,2010,290.109,35.25
12694,Philippines,2011,291.664,38.059
12695,Philippines,2012,299.949,36.485
12696,Philippines,2013,327.567,33.605
12697,Philippines,2014,347.637,35.343
12698,Philippines,2015,383.147,33.225
12699,Philippines,2016,421.035,38.099
12700,Philippines,2017,464.794,37.744
12701,Philippines,2018,479.42,40.888
12702,Philippines,2019,496.613,40.804
12703,Philippines,2020,,
